zip,donations,total,donations_per_1000
21053,1337,18719.859999999982,71.42147430589765
21054,1243,55027.50999999999,22.588701542192265
21056,146,61699,2.366326844843514
21057,803,30587.21999999996,26.252794467754864
21060,2913,77188.22000000016,37.738919228866706
21061,4334,94884.25000000096,45.67670609189572
21071,73,2712.2000000000007,26.915419216871904
21074,1937,41324.14,46.87332876134869
21075,1098,38737.78999999992,28.344415104733706
21076,1184,37133.1999999999,31.885213232363576
21077,3,86.21000000000001,34.79874724509917
21078,3100,79610.61000000061,38.93953331094909
21082,236,4434.750000000003,53.21607756919778
21084,1880,31766.83999999992,59.18120908469349
21085,2769,60720.31000000001,45.602533979157876
21087,2194,51768.68000000009,42.380837216633616
21088,5,207.86,24.054652169729625
21090,912,24629.47999999995,37.028796385469846
21092,1,48.93,20.437359493153487
21093,9103,260605.55000000255,34.93018471786158
21094,15,371.92,40.331254033125404
21102,1820,33108.76999999995,54.97032961357376
21104,1121,24535.42999999998,45.68903010870407
21106,2,73.93,27.052617340727714
21108,2665,93759.31000000042,28.423843989466093
21111,900,31044.06999999993,28.991044022256165
21113,2621,93812.13000000056,27.938817720053734
21114,5108,183088.8100000013,27.89902889204405
21117,3482,100675.68000000092,34.58630723924554
21120,1165,36591.729999999945,31.83779504275971
21122,9814,198584.7000000016,49.41971863894812
21123,23,811.1700000000001,28.354105797798237
21128,1706,38107.33999999993,44.76827823721107
21130,5,202,24.752475247524753
21131,986,53588.45,18.399487202932722
21132,1935,26892.71999999997,71.95255816444013
21133,853,11557.72999999996,73.80341987570249
21136,5753,117010.2300000019,49.16664124153851
21139,72,2126.1,33.86482291519684
21140,372,14685.769999999997,25.33064320086724
21144,4088,93118.1200000007,43.901229964693975
21146,4267,170297.64000000138,25.05613113605077
21150,2,260,7.6923076923076925
21152,506,25937.42999999998,19.50848638434881
21153,84,9404.070000000003,8.932302715739034
21154,1432,32637.779999999988,43.875533201093965
21155,225,8949.849999999999,25.1400861466952
21156,38,1853.68,20.49976263432739
21157,4538,133764.6600000017,33.92525350118591
21158,2036,62736.160000000025,32.45337298298141
21160,432,7897.949999999998,54.69773802062562
21161,855,25529.959999999937,33.49006422258405
21162,327,8861.850000000008,36.89974441002722
21163,2253,31190.8699999999,72.23267577980374
21164,1,100,10
21201,1094,21142.500000000044,51.74411729927859
21202,492,22378.09999999997,21.98578074099234
21203,13,4779.48,2.719961167323642
21204,8428,189115.3200000032,44.565400624337876
21205,80,3283.3199999999997,24.3655811800251
21206,814,20841.259999999973,39.05713953954804
21207,511,14736.519999999984,34.67575791299443
21208,3218,69404.8800000002,46.36561578955242
21209,1197,39362.56999999995,30.409599779689223
21210,586,22138.40999999998,26.469832295995985
21211,373,14625.330000000002,25.503698036215248
21212,1784,57711.109999999935,30.912592046834693
21213,222,5964.939999999996,37.21747410703211
21214,930,10893.830000000007,85.36942471105198
21215,1294,21237.409999999996,60.930217008571205
21216,38,780.86,48.66429321517302
21217,524,7613.850000000001,68.82194947365655
21218,1068,22943.169999999973,46.54980109548947
21219,1407,24274.23999999998,57.962679779058014
21220,6821,123716.15000000082,55.134273092073705
21221,3435,71861.3400000003,47.8003889156532
21222,3186,58565.289999999986,54.40082342288411
21223,189,5440.709999999999,34.73811322419317
21224,4252,97096.64000000036,43.791422648610535
21225,1693,20727.42999999996,81.67920480252512
21226,355,6695.000000000005,53.024645257654925
21227,1904,36017.46000000001,52.8632502125358
21228,8380,190287.5699999994,44.03860956340988
21229,1451,43146.99999999995,33.62922103506621
21230,3292,42890.42000000036,76.75373661530878
