zip,donations,total,donations_per_1000
21231,7981,281612.8999999996,28.340321057735675
21232,12,414.4,28.957528957528957
21233,28,238,117.6470588235294
21234,12937,250143.7600000003,51.71825993180875
21235,13,268,48.507462686567166
21236,5621,122992.59000000026,45.70194025509983
21237,3793,79481.20000000007,47.72197702098102
21238,13,734,17.71117166212534
21239,11716,161538.66000000044,72.52752994236778
21240,14,522,26.819923371647512
21241,1,25,40
21243,10,168,59.52380952380952
21244,9590,141657.7900000002,67.69835954662278
21245,19,176,107.95454545454545
21246,26,1031,25.21823472356935
21249,3,22,136.36363636363635
21250,5,206,24.271844660194173
21251,9,134,67.16417910447761
21252,9,120,75
21253,1,100,10
21255,1,5,200
21257,55,1454.5,37.813681677552424
21261,12,135,88.88888888888889
21262,2,45,44.44444444444444
21265,3,1000,3
21271,2,12,166.66666666666666
21275,1,100,10
21281,1,10,100
21282,274,5933.99,46.17466493876801
21284,171,3867.14,44.218724949187255
21285,3,650,4.615384615384616
21286,12808,415242.91999999946,30.84459573687618
21287,33,1663,19.84365604329525
21288,1,25,40
2129,2,12,166.66666666666666
21291,3,300,10
21294,2,100,20
21296,15,335.5,44.70938897168406
21297,8,122,65.57377049180329
21298,1,100,10
21299,2,105,19.04761904761905
2130,4,163.31,24.49329496050456
21301,12,230,52.17391304347826
21302,15,525,28.57142857142857
21303,10,464.66,21.521112211079068
21304,97,1173.9400000000005,82.62773225207418
21305,1,100,10
21306,9,73,123.2876712328767
21307,7,55,127.27272727272727
21308,5,103,48.543689320388346
21309,3,70,42.857142857142854
21310,7,120.62,58.033493616315695
21311,2,34.17,58.5308750365818
21312,3,210,14.285714285714285
21315,5,57,87.71929824561403
21316,3,125,24
21317,3,33,90.9090909090909
21318,81,2430.24,33.33004147738495
21320,9,728.15,12.3600906406647
21323,2,14.38,139.08205841446454
21328,20,300,66.66666666666667
21330,1,50,20
21331,2,80,25
21332,2,29,68.9655172413793
21334,13,63,206.34920634920633
21336,4,140,28.57142857142857
2134,1,100,10
21344,2,25,80
21346,2,29,68.9655172413793
21386,3,170,17.647058823529413
21401,36733,1649639.400000007,22.267290657582407
21402,172,9181.1,18.734138610841836
21403,25115,1333098.2500000054,18.83957165197681
21404,217,8654.399999999998,25.073950822702912
21405,1726,51961.95999999998,33.21660691782991
21406,5,850,5.88235294117647
21407,1,1010,0.9900990099009901
21408,135,263,513.3079847908745
21409,11407,445531.4299999982,25.603131972081176
21410,2,100,20
21412,6,91.07,65.88338640606128
21428,21,210,100
21430,1,40,25
21442,1,150,6.666666666666667
21491,22,660,33.333333333333336
21493,6,133,45.11278195488722
21498,3,130,23.076923076923077
21501,45,625,72
21502,7293,116830.50000000042,62.42376776612249
21503,18,648.06,27.775205999444495
21504,2,50,40
21509,17,970,17.52577319587629
2152,1,25,40
21520,197,8828.130000000001,22.315031609185635
21521,53,890.1600000000001,59.53985800305563
21523,6,46,130.43478260869566
21524,5,7,714.2857142857143
21529,33,886,37.24604966139955
21530,475,11216.91,42.346778212538034
21531,191,4804.52,39.75423143206813
21532,1754,43536.08000000003,40.28842284376542
21533,3,55.24,54.30847212165098
21536,466,10208.63,45.64765301514503
21538,17,85,200
21539,28,785.4200000000001,35.64971607547554
21540,1,56.18,17.7999288002848
21541,381,19362.08,19.677637939725482
21545,55,972.24,56.57039414136427
21550,1946,54859.00000000003,35.47275743269106
21555,229,5493.5,41.68562847001001
21557,71,1640.1999999999998,43.28740397512499
21560,8,127.17,62.9079185342455
21561,752,17515.689999999995,42.93293612755194
21562,202,2810.76,71.86668374389845
21565,2,8,250
21574,3,110,27.27272727272727
21591,1,1,1000
21592,5,63,79.36507936507937
21601,15791,628699.1599999968,25.11694146370433
21602,26,529,49.14933837429111
21604,1,25,40
21607,2,350,5.714285714285714
21610,279,3615.8,77.16134741965816
21612,232,8710.380000000001,26.634888489365558
21613,3942,120616.02999999994,32.682223084278284
21614,1,17,58.8235294117647
21615,2,12,166.66666666666666
21617,3054,57825.34999999997,52.81420691790022
21618,2,30,66.66666666666667
21619,3573,96216.21999999994,37.13511089918106
21620,7513,422426.1699999993,17.78535643281763
21622,17,546.72,31.094527363184078
21623,282,7916.639999999999,35.62117261868672
21624,164,8929.2,18.366706983828337
21625,258,8292.2,31.11357661416753
21627,4,28,142.85714285714286
21628,119,2211.88,53.80038700110313
21629,1206,24259.210000000006,49.7130780433493
21631,94,3551.46,26.46798781346263
21632,758,8827.550000000001,85.86753969108075
21635,611,12718.539999999995,48.04010523220435
21636,58,1112,52.15827338129497
21638,1114,33617.01,33.13798579945093
21639,559,10110.96,55.286540546100476
21640,141,3286.5,42.90278411684162
21641,17,197,86.29441624365482
21643,740,13598.149999999998,54.419167313200695
21645,196,5711.840000000006,34.314686685901535
21647,635,15435.859999999995,41.13797352398896
21648,4,240,16.666666666666668
21649,100,2484.55,40.24873719587048
21650,222,8666,25.617355181167785
21651,297,5999.56,49.50363026621952
21652,249,5809.5,42.86083139684999
21653,75,1085,69.12442396313365
21654,6312,175200.69,36.02725537211069
21655,427,15772.760000000002,27.071989937081398
21657,61,2836.7200000000003,21.50370850841817
21658,916,52629.99000000004,17.404525442623097
21659,1,10,100
21660,722,14024.06,51.482951442021786
21661,1339,25956.93,51.58545328742652
21662,821,71666.80999999998,11.455791041906291
21663,3198,165478.48000000045,19.325775774590092
21664,37,803,46.0772104607721
21665,141,8093.42,17.421559736180747
21666,3570,104492.80000000018,34.16503338029026
21667,445,7539.389999999999,59.023342737277154
21668,148,2688.7899999999995,55.04334663547545
21669,146,4473.520000000004,32.636492068885325
21670,15,29,517.2413793103449
21671,397,13720.66,28.93446816698322
21672,6,92,65.21739130434783
21673,437,18756.35,23.298776147811278
21676,78,9237.36,8.443971004702643
